elapsed_s,FRET_mA,FRET_V,DAMPER_mA,DAMPER_V,PICK_mA,PICK_V
4.010,3607.50,10.10,98.75,0.00,-1.25,1.31
4.056,4101.25,9.15,38.75,0.00,1.25,1.32
4.095,3421.25,10.01,471.25,0.00,-1.25,1.32
4.140,4100.00,9.20,475.00,0.00,0.00,1.38
4.190,3667.50,9.14,467.50,0.00,-1.25,1.31
4.239,3686.25,9.25,152.50,0.02,-1.25,1.33
4.293,3640.00,9.64,486.25,0.00,-1.25,1.32
4.334,4071.25,9.15,465.00,0.00,-2.50,1.31
4.378,3445.00,9.50,6.25,0.00,0.00,1.36
4.426,3448.75,9.44,438.75,0.00,0.00,1.34
4.469,3965.00,10.08,362.50,0.00,0.00,1.33
4.513,3745.00,9.72,53.75,0.00,0.00,1.32
4.556,4097.50,9.14,461.25,0.00,0.00,1.38
4.599,4097.50,9.15,-12.50,0.00,-1.25,1.31
4.638,3950.00,9.45,336.25,0.00,-1.25,1.31
4.676,4095.00,9.15,-3.75,0.91,0.00,1.33
4.713,3800.00,9.16,478.75,0.00,-1.25,1.33
4.753,3673.75,9.23,465.00,0.50,0.00,1.33
4.790,4106.25,9.71,313.75,0.00,-1.25,1.35
4.827,4095.00,9.15,460.00,0.81,-1.25,1.36
4.864,4096.25,9.93,465.00,0.00,-1.25,1.39
4.901,4106.25,9.14,87.50,0.00,0.00,1.31
4.936,3596.25,9.20,476.25,0.07,-1.25,1.32
4.974,4093.75,9.15,-115.00,0.00,-1.25,1.31
5.017,4087.50,9.14,72.50,0.17,0.00,1.31
5.057,3767.50,10.04,323.75,0.00,0.00,1.32
5.094,4095.00,9.18,471.25,0.00,-1.25,1.33
5.132,4086.25,9.65,96.25,0.00,-1.25,1.36
5.167,4100.00,9.67,86.25,0.72,-1.25,1.37
5.207,4096.25,9.29,463.75,0.52,0.00,1.37
5.248,4100.00,10.16,155.00,0.06,-2.50,1.33
5.292,2.50,10.05,642.50,0.90,-1.25,1.35
5.329,0.00,9.84,863.75,0.00,-1.25,1.36
5.367,1.25,9.98,363.75,0.00,0.00,1.37
5.404,0.00,10.02,678.75,1.33,1.25,1.38
5.443,0.00,9.52,663.75,1.26,-2.50,1.37
5.480,1.25,9.60,818.75,0.00,1.25,1.39
5.520,1.25,9.74,730.00,0.00,1.25,1.37
5.564,0.00,9.73,831.25,0.00,0.00,1.34
5.619,1.25,9.60,713.75,0.00,1.25,1.38
5.665,0.00,9.60,611.25,0.00,0.00,1.35
5.709,1.25,9.71,881.25,0.00,-1.25,1.34
5.751,0.00,8.01,0.00,0.00,0.00,1.39
5.802,3827.50,9.32,571.25,0.56,0.00,1.39
5.841,4038.75,10.11,23.75,0.00,-1.25,1.39
5.879,3631.25,9.18,477.50,1.05,0.00,1.33
5.914,3952.50,10.10,486.25,0.00,-1.25,1.34
5.950,4063.75,9.16,-30.00,0.00,-1.25,1.35
5.987,3535.00,10.12,-6.25,1.00,1.25,1.33
6.033,4068.75,9.17,460.00,0.00,-1.25,1.33
6.074,4070.00,10.23,-10.00,0.00,0.00,1.33
6.111,3733.75,9.15,286.25,0.17,-1.25,1.35
6.148,4071.25,9.16,580.00,0.00,0.00,1.33
6.192,1.25,9.90,501.25,0.00,-1.25,1.35
6.229,-1.25,9.90,882.50,0.00,0.00,1.33
6.275,0.00,9.71,353.75,2.71,0.00,1.32
6.315,0.00,9.61,37.50,0.00,0.00,1.32
6.355,1.25,9.35,701.25,0.00,-1.25,1.34
6.392,0.00,9.65,392.50,0.36,-1.25,1.32
6.436,3401.25,9.18,335.00,1.26,-1.25,1.33
6.474,3100.00,9.41,302.50,0.00,-1.25,1.33
6.512,3552.50,9.21,447.50,0.00,-1.25,1.34
6.551,4098.75,9.13,-28.75,1.19,0.00,1.35
6.588,3633.75,9.41,482.50,0.00,0.00,1.36
6.627,4165.00,9.14,35.00,0.00,0.00,1.38
6.663,3691.25,9.96,488.75,0.00,-1.25,1.38
6.702,4118.75,9.13,415.00,1.15,1.25,1.37
6.740,4146.25,9.96,233.75,0.00,0.00,1.31
6.777,4118.75,9.14,446.25,0.00,0.00,1.31
6.818,4156.25,9.30,393.75,1.18,0.00,1.31
6.855,3768.75,9.20,480.00,0.00,0.00,1.33
6.892,4170.00,9.14,62.50,0.00,-2.50,1.34
6.930,3993.75,9.52,447.50,0.00,1.25,1.36
6.967,4177.50,9.13,61.25,0.00,0.00,1.37
7.004,4037.50,9.93,491.25,0.49,1.25,1.33
7.052,4133.75,9.12,333.75,0.00,-1.25,1.34
7.090,4170.00,10.11,310.00,0.00,-1.25,1.36
7.125,4173.75,9.30,-3.75,0.00,-1.25,1.39
7.163,4125.00,9.19,493.75,0.47,-2.50,1.40
7.200,4176.25,9.92,102.50,0.00,0.00,1.31
7.237,4073.75,9.13,461.25,0.00,-1.25,1.32
7.275,4175.00,9.13,101.25,0.00,0.00,1.32
7.317,4175.00,9.91,418.75,0.00,-1.25,1.37
7.365,4158.75,9.98,458.75,0.00,0.00,1.38
7.404,4103.75,9.25,482.50,0.01,-1.25,1.38
7.443,4161.25,10.10,625.00,0.00,-1.25,1.23
7.493,1.25,9.67,723.75,1.05,0.00,1.18
7.545,1.25,9.39,685.00,0.00,0.00,1.14
7.610,6.25,9.99,875.00,0.00,0.00,1.12
7.664,0.00,9.99,656.25,0.00,0.00,1.11
