elapsed_s,FRET_mA,FRET_V,DAMPER_mA,DAMPER_V,PICK_mA,PICK_V
1.799,1.25,10.15,513.75,0.00,0.00,1.31
1.818,1.25,10.14,888.75,0.00,0.00,1.32
1.838,2.50,9.55,723.75,1.21,0.00,1.32
1.857,3.75,10.06,53.75,0.00,0.00,1.32
1.877,0.00,9.80,867.50,0.00,0.00,1.32
1.896,1.25,10.04,485.00,1.65,-1.25,1.32
1.916,0.00,9.90,403.75,0.00,-1.25,1.32
1.936,0.00,9.50,872.50,0.00,-1.25,1.32
1.956,2.50,10.03,568.75,0.00,-1.25,1.32
1.976,1.25,9.63,868.75,0.00,1.25,1.32
1.997,10.00,10.04,540.00,0.00,0.00,1.32
2.018,0.00,9.75,875.00,0.00,-1.25,1.32
2.037,1.25,10.76,562.50,2.44,-1.25,1.32
2.057,1.25,9.90,778.75,0.00,0.00,1.32
2.076,2.50,9.50,673.75,0.00,0.00,1.32
2.096,11.25,11.60,528.75,0.00,0.00,1.32
2.115,1.25,9.63,733.75,0.00,-1.25,1.33
2.135,-1.25,10.16,560.00,0.00,-1.25,1.33
2.154,2.50,9.80,742.50,0.00,-1.25,1.33
2.174,0.00,10.48,-146.25,0.00,-1.25,1.34
2.193,0.00,10.61,886.25,0.00,0.00,1.33
2.213,0.00,9.53,766.25,1.12,0.00,1.33
2.234,2.50,10.15,148.75,0.00,-1.25,1.33
2.254,0.00,9.65,881.25,0.00,-1.25,1.33
2.273,56.25,10.05,17.50,0.00,0.00,1.33
2.293,2.50,9.89,870.00,0.00,-1.25,1.34
2.312,1.25,9.40,756.25,0.00,1.25,1.34
2.333,1.25,10.09,721.25,0.00,-2.50,1.34
2.352,0.00,9.61,873.75,0.00,0.00,1.34
2.372,7.50,10.04,227.50,0.00,1.25,1.35
2.391,0.00,9.75,695.00,0.00,0.00,1.35
2.412,1.25,10.17,433.75,0.00,0.00,1.40
2.442,0.00,9.69,867.50,0.00,0.00,1.35
2.470,1.25,11.39,623.75,0.00,0.00,1.35
2.490,0.00,9.61,432.50,0.00,0.00,1.35
2.511,1.25,10.68,683.75,0.00,-1.25,1.34
2.532,1.25,9.74,708.75,0.00,-1.25,1.34
2.553,1.25,10.05,630.00,2.11,2.50,1.33
2.574,0.00,9.84,872.50,0.00,-1.25,1.32
2.599,6.25,10.05,607.50,0.00,-1.25,1.38
2.627,1.25,9.85,870.00,0.00,0.00,1.35
2.650,1.25,10.75,50.00,0.00,0.00,1.37
2.681,0.00,9.51,683.75,0.00,0.00,1.37
2.706,0.00,10.03,651.25,0.00,1.25,1.37
2.726,1.25,9.62,860.00,0.00,0.00,1.36
2.748,10.00,10.18,11.25,0.00,-1.25,1.35
2.769,0.00,9.86,877.50,0.00,-1.25,1.35
2.789,30.00,10.04,47.50,1.98,1.25,1.35
2.808,1.25,9.89,570.00,0.00,0.00,1.36
2.828,1.25,9.49,642.50,0.00,0.00,1.36
2.847,13.75,10.04,750.00,0.00,-1.25,1.36
2.867,0.00,9.59,693.75,0.00,-1.25,1.37
2.886,-1.25,10.51,691.25,0.18,0.00,1.37
2.906,2.50,9.79,772.50,0.00,-1.25,1.37
2.925,1.25,10.66,-76.25,0.00,-1.25,1.38
2.947,1.25,9.90,717.50,0.00,-2.50,1.37
2.966,2.50,9.43,156.25,0.00,-1.25,1.37
2.988,1.25,10.67,691.25,0.00,-1.25,1.34
3.012,0.00,9.44,546.25,0.00,-1.25,1.33
3.033,0.00,10.15,528.75,0.00,0.00,1.34
3.053,1.25,9.69,882.50,0.00,-1.25,1.34
3.072,3.75,10.04,197.50,0.00,0.00,1.34
3.092,-1.25,9.83,748.75,0.00,-1.25,1.34
3.111,1.25,11.41,683.75,0.00,0.00,1.34
3.131,-147.50,10.00,725.00,0.00,-1.25,1.34
3.150,1.25,9.54,743.75,0.00,-1.25,1.35
3.170,2.50,10.04,27.50,0.00,1.25,1.31
3.199,1.25,9.50,717.50,0.00,-1.25,1.31
3.218,1.25,10.16,692.50,0.00,0.00,1.31
3.238,0.00,9.65,730.00,0.00,-1.25,1.39
3.261,2.50,11.77,681.25,0.00,0.00,1.31
3.280,0.00,9.77,745.00,0.00,0.00,1.31
3.300,0.00,10.19,618.75,0.00,0.00,1.31
3.320,1.25,10.12,886.25,0.00,0.00,1.32
3.341,1.25,9.46,71.25,0.00,0.00,1.33
3.360,0.00,11.67,663.75,0.00,1.25,1.35
3.380,1.25,9.61,756.25,0.00,-1.25,1.31
3.399,1.25,10.19,-105.00,0.00,-1.25,1.31
3.419,0.00,9.98,885.00,0.00,0.00,1.31
3.438,0.00,9.74,397.50,1.76,-1.25,1.32
3.458,1.25,10.07,883.75,0.00,0.00,1.38
3.484,0.00,9.82,210.00,0.00,-1.25,1.37
3.508,1.25,9.92,872.50,0.00,0.00,1.34
3.534,1.25,11.08,646.25,0.00,0.00,1.32
3.557,0.00,9.88,766.25,0.00,-1.25,1.31
3.579,-1.25,10.07,518.75,0.00,0.00,1.38
3.600,0.00,9.97,883.75,0.00,-1.25,1.39
3.623,1.25,9.43,438.75,0.00,-1.25,1.40
3.644,1.25,11.63,880.00,0.00,0.00,1.35
3.670,0.00,10.07,52.50,0.00,-2.50,1.33
3.694,2.50,9.88,713.75,0.00,-1.25,1.32
3.717,1.25,9.41,645.00,2.16,-1.25,1.35
3.740,-1.25,10.01,541.25,0.00,0.00,1.39
3.763,0.00,9.40,587.50,0.57,-1.25,1.38
3.785,2.50,11.38,886.25,0.00,0.00,1.37
3.806,1.25,9.51,773.75,0.00,0.00,1.36
3.829,0.00,11.20,686.25,0.00,0.00,1.35
3.851,-1.25,9.69,783.75,0.00,0.00,1.34
3.871,2.50,10.52,26.25,2.68,1.25,1.34
3.892,1.25,9.72,868.75,0.00,0.00,1.34
3.913,1.25,10.16,-125.00,0.00,-1.25,1.32
3.936,-1.25,9.83,882.50,0.00,-1.25,1.31
3.959,1.25,10.85,675.00,0.00,-1.25,1.39
3.983,0.00,9.77,307.50,0.00,0.00,1.37
4.007,0.00,10.09,-20.00,0.00,1.25,1.34
4.031,0.00,9.73,847.50,0.00,0.00,1.32
4.060,0.00,10.04,511.25,0.00,0.00,1.38
4.086,1.25,9.45,123.75,0.13,0.00,1.34
4.112,1.25,9.98,700.00,0.00,0.00,1.32
4.137,0.00,9.60,603.75,0.32,-1.25,1.32
4.157,3.75,10.48,58.75,0.00,0.00,1.31
4.181,0.00,9.51,506.25,0.00,0.00,1.37
4.207,0.00,10.04,478.75,0.00,0.00,1.37
4.228,1.25,9.76,683.75,0.00,0.00,1.35
4.249,1.25,10.16,-88.75,0.00,0.00,1.35
4.268,1.25,9.70,882.50,0.00,0.00,1.36
4.288,3.75,10.05,425.00,0.35,-1.25,1.35
4.310,1.25,9.86,867.50,0.00,0.00,1.35
4.329,0.00,10.07,717.50,0.50,0.00,1.36
4.349,0.00,9.99,703.75,0.00,0.00,1.36
4.369,0.00,9.63,870.00,0.00,-1.25,1.35
4.388,2.50,10.03,30.00,0.00,0.00,1.35
4.409,0.00,9.72,868.75,0.00,-2.50,1.35
4.429,-2.50,10.04,495.00,1.67,-1.25,1.35
4.449,1.25,9.84,238.75,0.00,0.00,1.35
4.469,0.00,10.65,697.50,1.13,0.00,1.35
4.491,0.00,9.95,610.00,0.00,1.25,1.35
4.511,1.25,9.57,858.75,0.00,-1.25,1.35
4.531,5.00,10.05,-36.25,0.00,0.00,1.33
4.553,0.00,9.56,731.25,0.00,0.00,1.33
4.574,1.25,10.07,451.25,0.00,1.25,1.33
4.594,0.00,9.83,868.75,0.00,-1.25,1.33
4.614,-6.25,10.04,500.00,0.00,0.00,1.33
4.633,0.00,9.90,625.00,0.00,0.00,1.34
4.653,1.25,9.40,606.25,0.18,1.25,1.31
4.681,0.00,9.86,350.00,0.00,0.00,1.39
4.703,0.00,10.06,75.00,0.00,0.00,1.37
4.727,1.25,10.01,870.00,0.00,0.00,1.36
4.748,2.50,9.98,446.25,0.00,0.00,1.34
4.771,-2.50,9.96,801.25,0.00,-1.25,1.34
4.791,1.25,9.50,680.00,0.00,0.00,1.34
4.812,6.25,10.04,478.75,0.00,0.00,1.33
4.833,1.25,9.60,462.50,0.00,-1.25,1.34
4.853,0.00,10.51,656.25,1.76,0.00,1.34
4.873,1.25,9.75,557.50,0.00,-1.25,1.33
4.892,-1.25,10.64,345.00,0.00,0.00,1.33
4.912,1.25,10.21,875.00,0.00,0.00,1.34
4.931,1.25,9.47,692.50,0.00,-1.25,1.34
4.951,1.25,10.31,-112.50,0.00,-1.25,1.34
4.971,0.00,9.64,831.25,0.00,-1.25,1.34
4.992,1.25,11.84,675.00,0.00,-1.25,1.34
5.012,0.00,10.03,733.75,0.00,0.00,1.34
5.032,0.00,10.07,531.25,0.00,0.00,1.33
5.056,1.25,9.84,390.00,0.00,0.00,1.32
5.078,2.50,10.83,720.00,0.00,0.00,1.32
5.098,-47.50,9.98,728.75,0.00,0.00,1.31
5.117,1.25,9.53,873.75,0.00,-1.25,1.32
5.137,0.00,10.04,702.50,0.84,-2.50,1.32
5.156,1.25,9.70,680.00,0.00,0.00,1.32
5.176,0.00,10.62,680.00,0.00,0.00,1.32
5.195,0.00,9.88,868.75,0.00,-1.25,1.33
5.215,0.00,9.41,637.50,0.00,0.00,1.33
5.234,0.00,11.34,887.50,0.00,0.00,1.34
5.254,2.50,9.78,880.00,0.00,-1.25,1.33
5.273,2.50,10.04,27.50,0.00,0.00,1.33
5.293,0.00,9.84,875.00,0.00,-1.25,1.33
5.313,73.75,10.05,523.75,0.00,1.25,1.34
5.332,0.00,9.98,726.25,0.00,0.00,1.34
5.352,0.00,9.64,876.25,0.00,0.00,1.34
5.372,-6.25,10.04,-66.25,0.00,-1.25,1.34
5.393,1.25,9.68,656.25,0.00,-1.25,1.34
5.412,0.00,10.05,613.75,2.04,-1.25,1.34
5.432,0.00,9.81,643.75,0.00,0.00,1.32
5.455,-2.50,10.03,368.75,0.00,0.00,1.33
5.474,0.00,9.92,487.50,0.00,0.00,1.33
5.494,0.00,9.55,870.00,0.00,0.00,1.33
5.513,-6.25,10.04,492.50,0.00,-1.25,1.34
5.534,1.25,9.62,508.75,0.00,2.50,1.33
5.555,3.75,10.04,91.25,0.00,0.00,1.32
5.577,1.25,9.83,871.25,0.00,0.00,1.32
5.597,48.75,10.19,550.00,0.00,-1.25,1.31
5.619,1.25,10.02,881.25,0.00,-1.25,1.32
5.638,1.25,10.06,38.75,0.00,-1.25,1.31
5.658,0.00,10.06,873.75,0.00,-1.25,1.40
5.684,2.50,9.40,331.25,0.00,0.00,1.38
5.704,5.00,9.99,721.25,0.00,-1.25,1.38
5.725,1.25,9.53,510.00,0.00,0.00,1.39
5.744,1.25,11.76,685.00,0.00,-2.50,1.39
5.764,0.00,9.68,722.50,0.00,-1.25,1.39
5.784,1.25,11.54,666.25,0.00,0.00,1.38
5.804,1.25,9.81,733.75,0.00,1.25,1.38
5.824,-1.25,10.41,100.00,0.00,-2.50,1.38
5.844,1.25,10.02,871.25,0.00,0.00,1.38
5.864,1.25,9.56,698.75,0.00,0.00,1.39
5.883,0.00,10.15,87.50,0.00,0.00,1.39
5.903,1.25,9.80,835.00,0.00,0.00,1.39
5.922,1.25,10.06,336.25,0.00,-1.25,1.38
5.941,0.00,9.96,480.00,0.00,0.00,1.39
5.961,1.25,9.67,727.50,1.23,0.00,1.31
5.981,-96.25,10.03,482.50,0.00,-1.25,1.40
6.001,0.00,9.67,877.50,0.00,-1.25,1.32
6.020,2.50,10.04,632.50,1.94,1.25,1.32
6.041,0.00,9.81,868.75,0.00,-1.25,1.34
6.062,5.00,10.04,486.25,1.60,0.00,1.39
6.082,2.50,9.92,363.75,0.00,-1.25,1.39
6.107,1.25,10.40,-110.00,0.00,0.00,1.36
6.129,5.00,9.91,725.00,0.00,-1.25,1.35
6.150,-1.25,9.88,548.75,0.00,0.00,1.34
6.171,-1.25,10.04,705.00,0.00,-1.25,1.34
6.191,1.25,9.55,861.25,0.00,0.00,1.34
6.212,2.50,10.39,476.25,0.00,0.00,1.34
6.232,0.00,9.70,472.50,0.00,-1.25,1.34
6.252,1.25,11.23,645.00,1.80,0.00,1.34
6.272,1.25,9.86,530.00,0.00,1.25,1.34
6.292,0.00,10.75,462.50,1.55,-1.25,1.40
6.321,1.25,9.80,742.50,0.00,0.00,1.39
6.345,95.00,10.04,232.50,0.00,0.00,1.34
6.373,0.00,9.67,322.50,0.00,-1.25,1.33
6.394,0.00,10.04,543.75,0.13,0.00,1.32
6.416,1.25,9.77,871.25,0.00,-1.25,1.38
6.446,0.00,10.19,883.75,0.00,0.00,1.32
6.477,-1.25,10.08,51.25,0.00,0.00,1.37
6.507,-1.25,9.83,875.00,0.00,0.00,1.33
6.535,5.00,10.04,-31.25,0.00,0.00,1.40
6.563,1.25,9.53,872.50,0.00,-1.25,1.35
6.593,1.25,11.28,876.25,0.00,0.00,1.31
6.622,3.75,11.51,662.50,0.13,-1.25,1.34
6.654,2.50,9.46,702.50,2.37,0.00,1.34
6.695,0.00,9.73,712.50,0.00,-1.25,1.40
6.722,-103.75,10.04,70.00,0.00,-1.25,1.40
6.743,1.25,9.81,876.25,0.00,-1.25,1.40
6.763,10.00,10.04,493.75,1.79,0.00,1.38
6.784,1.25,9.95,883.75,0.00,-1.25,1.38
6.804,1.25,9.42,288.75,0.00,0.00,1.39
6.824,2.50,10.20,27.50,0.00,0.00,1.39
6.843,2.50,9.79,861.25,0.00,-1.25,1.39
6.864,-6.25,10.04,-141.25,0.00,0.00,1.38
6.885,0.00,9.77,880.00,0.00,0.00,1.38
6.904,1.25,10.04,550.00,2.36,0.00,1.38
6.924,0.00,9.95,876.25,0.00,0.00,1.38
6.946,0.00,10.15,36.25,0.00,-2.50,1.36
6.968,1.25,10.10,742.50,0.00,1.25,1.35
6.992,1.25,9.53,687.50,0.00,0.00,1.33
7.015,0.00,9.95,395.00,0.00,0.00,1.32
7.038,0.00,9.43,253.75,0.00,-2.50,1.31
7.060,1.25,11.83,872.50,0.00,-1.25,1.31
7.080,0.00,9.47,693.75,0.00,-1.25,1.38
7.106,1.25,10.04,508.75,0.00,-1.25,1.33
7.135,0.00,10.04,551.25,2.75,-1.25,1.31
7.159,1.25,9.93,882.50,0.00,0.00,1.37
7.181,1.25,10.10,93.75,0.00,0.00,1.39
7.204,0.00,9.93,745.00,0.00,0.00,1.39
7.225,2.50,9.45,430.00,0.00,-1.25,1.37
7.247,1.25,10.00,765.00,0.00,0.00,1.37
7.267,1.25,9.58,865.00,1.14,-1.25,1.35
7.288,11.25,10.04,471.25,1.41,-1.25,1.35
7.310,2.50,9.76,861.25,0.00,1.25,1.35
7.329,7.50,10.04,522.50,0.00,-1.25,1.35
7.353,0.00,9.66,888.75,0.00,1.25,1.34
7.373,3.75,10.04,413.75,0.00,0.00,1.33
7.395,0.00,9.95,825.00,0.00,1.25,1.33
7.416,0.00,10.14,82.50,0.00,0.00,1.32
7.437,0.00,9.92,740.00,0.00,-1.25,1.32
7.459,0.00,9.43,473.75,0.00,0.00,1.33
7.479,-160.00,10.02,756.25,0.00,0.00,1.34
7.500,-1.25,9.56,871.25,0.00,0.00,1.31
7.522,10.00,10.03,120.00,0.00,0.00,1.38
7.546,0.00,9.50,695.00,0.00,1.25,1.34
7.574,0.00,10.02,486.25,0.00,0.00,1.32
7.598,-1.25,10.33,688.75,2.35,-1.25,1.35
7.629,0.00,9.75,515.00,0.00,0.00,1.32
7.658,1.25,10.97,675.00,0.00,0.00,1.36
7.691,1.25,10.05,247.50,0.00,0.00,1.37
7.721,1.25,9.82,701.25,0.00,0.00,1.37
7.745,0.00,10.04,520.00,0.00,0.00,1.37
7.768,1.25,9.87,827.50,0.00,0.00,1.35
7.789,1.25,10.77,673.75,0.00,-1.25,1.34
7.811,0.00,9.88,727.50,0.00,-1.25,1.33
7.834,-1.25,10.10,700.00,0.00,-2.50,1.32
7.856,-158.75,9.89,871.25,0.00,1.25,1.31
7.879,2.50,10.07,501.25,0.00,0.00,1.37
7.900,0.00,10.04,727.50,0.00,0.00,1.39
7.923,-1.25,9.45,720.00,0.00,0.00,1.39
7.944,2.50,10.17,865.00,0.00,0.00,1.38
7.964,0.00,9.54,875.00,0.00,-1.25,1.37
7.987,3.75,10.04,513.75,0.00,0.00,1.34
8.011,1.25,9.47,691.25,0.00,0.00,1.33
8.035,0.00,11.12,687.50,0.00,0.00,1.33
8.054,1.25,9.64,742.50,0.00,0.00,1.33
8.074,1.25,10.09,195.00,0.00,-1.25,1.33
8.094,2.50,10.04,871.25,0.00,-1.25,1.34
8.114,2.50,10.18,-121.25,0.00,1.25,1.32
8.135,1.25,10.13,885.00,0.00,0.00,1.32
8.154,0.00,9.49,778.75,0.23,-1.25,1.33
8.174,0.00,10.07,141.25,0.00,0.00,1.33
8.193,0.00,9.60,875.00,0.00,-1.25,1.33
8.214,2.50,10.04,526.25,0.00,-1.25,1.33
8.233,0.00,9.84,880.00,0.00,0.00,1.34
8.253,1.25,10.08,650.00,0.58,0.00,1.34
8.272,2.50,10.02,500.00,0.00,0.00,1.34
8.293,1.25,9.65,860.00,0.00,-1.25,1.34
8.313,50.00,10.04,491.25,0.00,0.00,1.33
8.333,0.00,9.67,522.50,0.00,0.00,1.34
8.352,1.25,10.13,641.25,1.96,0.00,1.32
8.377,1.25,9.88,871.25,0.00,1.25,1.31
8.399,0.00,10.14,592.50,0.00,-1.25,1.36
8.420,0.00,9.77,627.50,0.00,-1.25,1.37
8.442,1.25,11.04,576.25,2.28,0.00,1.36
8.469,1.25,9.97,811.25,0.00,0.00,1.35
8.490,1.25,10.37,666.25,0.27,1.25,1.31
8.520,1.25,9.61,738.75,0.00,0.00,1.40
8.542,0.00,11.27,698.75,0.00,0.00,1.38
8.565,1.25,9.69,520.00,0.00,-1.25,1.38
8.585,2.50,10.53,628.75,0.00,-1.25,1.38
8.606,0.00,9.83,543.75,0.00,-1.25,1.35
8.629,6.25,10.04,305.00,0.00,0.00,1.35
8.651,-1.25,9.94,882.50,0.00,-1.25,1.32
8.677,1.25,11.60,600.00,0.00,-1.25,1.32
8.697,-1.25,9.89,566.25,0.00,0.00,1.40
8.722,0.00,10.15,-3.75,0.00,0.00,1.38
8.746,1.25,9.77,880.00,0.00,0.00,1.34
8.772,-158.75,11.65,700.00,0.00,-1.25,1.32
8.796,2.50,9.73,718.75,0.00,-1.25,1.32
8.816,1.25,10.15,-77.50,0.00,0.00,1.33
8.835,1.25,10.06,888.75,0.00,-1.25,1.33
8.856,1.25,9.43,217.50,0.00,0.00,1.32
8.878,3.75,10.03,866.25,0.00,0.00,1.32
8.898,1.25,9.58,686.25,0.00,1.25,1.31
8.919,0.00,11.09,690.00,0.13,-1.25,1.31
8.938,-1.25,9.68,751.25,0.00,-1.25,1.31
8.959,2.50,11.60,680.00,0.00,0.00,1.31
8.979,1.25,9.83,721.25,0.00,0.00,1.31
8.998,1.25,9.89,78.75,0.00,-1.25,1.31
9.021,3.75,9.95,767.50,0.00,0.00,1.40
9.042,0.00,9.48,866.25,0.00,0.00,1.40
9.061,-1.25,10.55,550.00,0.00,1.25,1.32
9.081,0.00,9.63,741.25,0.00,-1.25,1.33
9.101,1.25,10.98,697.50,0.93,0.00,1.39
9.124,1.25,9.76,716.25,0.00,-1.25,1.38
9.145,-1.25,10.04,573.75,2.50,0.00,1.39
9.164,0.00,9.86,571.25,0.00,0.00,1.37
9.185,0.00,10.89,687.50,0.54,-1.25,1.37
9.206,46.25,10.03,715.00,0.00,-1.25,1.38
9.225,1.25,9.58,867.50,0.00,0.00,1.37
9.246,-8.75,10.03,493.75,0.00,-1.25,1.33
9.274,1.25,9.57,530.00,0.00,-2.50,1.38
9.305,2.50,9.84,517.50,0.00,0.00,1.36
9.328,2.50,10.04,491.25,1.41,-1.25,1.34
9.352,1.25,10.08,730.00,0.00,0.00,1.34
9.375,1.25,11.59,682.50,0.00,0.00,1.32
9.402,1.25,9.68,751.25,0.00,0.00,1.37
9.426,0.00,10.04,521.25,0.00,0.00,1.35
9.450,1.25,9.86,882.50,0.00,-1.25,1.34
9.472,1.25,10.16,521.25,0.00,-1.25,1.33
9.495,-1.25,9.75,702.50,0.00,1.25,1.38
9.524,0.00,10.80,688.75,0.00,0.00,1.37
9.546,0.00,9.64,371.25,0.00,1.25,1.36
9.572,0.00,10.08,10.00,0.00,0.00,1.31
9.602,1.25,9.42,-240.00,0.00,-1.25,1.34
9.634,0.00,9.88,750.00,0.00,0.00,1.35
9.672,0.00,9.79,417.50,0.00,0.00,1.33
9.716,1.25,9.96,753.75,0.00,0.00,1.36
9.751,1.25,10.04,156.25,0.00,-1.25,1.31
9.782,-1.25,9.48,713.75,0.00,0.00,1.40
9.822,1.25,9.71,690.00,0.00,-1.25,1.33
9.856,0.00,10.25,543.75,0.00,1.25,1.33
9.901,0.00,10.03,872.50,0.00,0.00,1.31
9.942,70.00,10.18,880.00,0.00,1.25,1.34
9.992,1.25,9.82,885.00,1.30,-1.25,1.38
10.047,1.25,9.82,733.75,0.00,0.00,1.39
10.085,1.25,10.03,268.75,0.00,0.00,1.34
10.113,0.00,9.44,686.25,0.52,1.25,1.40
10.142,0.00,10.04,671.25,0.00,0.00,1.34
10.173,6.25,10.07,525.00,0.00,0.00,1.33
10.195,1.25,9.76,820.00,0.00,0.00,1.33
10.214,1.25,10.18,-20.00,0.00,0.00,1.33
10.236,2.50,9.87,742.50,0.00,0.00,1.32
10.256,0.00,9.44,475.00,0.00,-1.25,1.33
10.275,1.25,11.12,705.00,0.00,0.00,1.32
10.295,1.25,9.60,693.75,0.00,1.25,1.33
10.314,1.25,10.17,528.75,0.00,0.00,1.33
10.334,1.25,9.84,877.50,0.00,0.00,1.33
10.353,1.25,10.53,312.50,0.53,0.00,1.34
10.373,5.00,10.01,717.50,0.00,0.00,1.34
10.392,0.00,9.59,866.25,0.00,0.00,1.34
10.413,12.50,10.04,491.25,0.00,0.00,1.34
10.433,0.00,9.67,518.75,0.00,-1.25,1.33
10.454,21.25,10.04,47.50,0.00,-1.25,1.34
10.474,2.50,9.79,876.25,0.00,-1.25,1.33
10.494,3.75,10.05,718.75,0.00,0.00,1.33
10.513,-1.25,10.00,767.50,0.00,0.00,1.33
10.533,0.00,9.51,875.00,0.00,-1.25,1.33
10.554,73.75,10.03,465.00,0.00,-1.25,1.33
10.573,0.00,9.65,388.75,0.00,0.00,1.34
10.593,1.25,11.82,681.25,0.00,-1.25,1.34
10.612,0.00,9.83,723.75,0.00,-1.25,1.34
10.633,1.25,10.13,-290.00,0.00,0.00,1.33
10.652,0.00,10.67,877.50,0.00,-1.25,1.33
10.678,2.50,10.08,527.50,0.00,-1.25,1.32
10.699,0.00,10.00,716.25,0.00,1.25,1.31
10.719,1.25,9.65,777.50,2.20,0.00,1.31
10.739,1.25,10.04,202.50,0.00,-1.25,1.31
10.758,1.25,9.73,692.50,0.00,-1.25,1.31
10.778,-8.75,10.05,591.25,2.28,-1.25,1.39
10.803,0.00,9.77,761.25,0.00,0.00,1.32
10.837,-315.00,10.04,796.25,0.00,0.00,1.32
10.857,0.00,9.58,872.50,0.00,-2.50,1.38
10.884,1.25,11.21,772.50,0.00,-1.25,1.35
10.908,1.25,9.47,755.00,0.00,0.00,1.36
10.928,-1.25,10.72,540.00,0.00,-1.25,1.36
10.947,-1.25,9.62,733.75,0.00,0.00,1.36
