elapsed_s,FRET_mA,FRET_V,DAMPER_mA,DAMPER_V,PICK_mA,PICK_V
4.713,1.25,9.56,735.00,0.00,-1.25,1.39
4.733,0.00,10.15,498.75,0.00,-1.25,1.38
4.754,1.25,9.85,758.75,0.00,0.00,1.38
4.773,1.25,10.04,122.50,0.00,0.00,1.40
4.792,0.00,9.95,781.25,0.00,0.00,1.40
4.812,1.25,9.40,726.25,2.13,0.00,1.33
4.831,0.00,10.03,477.50,0.00,-1.25,1.35
4.851,0.00,9.62,765.00,0.00,-1.25,1.37
4.870,2.50,10.04,591.25,2.28,0.00,1.38
4.891,1.25,9.77,475.00,0.00,-1.25,1.39
4.913,2.50,10.03,490.00,0.00,-1.25,1.39
4.933,1.25,9.89,528.75,0.00,-1.25,1.40
4.953,1.25,9.59,605.00,2.26,-1.25,1.40
4.973,1.25,9.86,868.75,0.00,-1.25,1.33
5.004,-42.50,10.28,148.75,0.00,0.00,1.31
5.029,0.00,9.73,693.75,0.00,0.00,1.37
5.050,0.00,11.62,683.75,0.10,0.00,1.39
5.072,3.75,9.82,790.00,0.00,1.25,1.39
5.092,1.25,10.25,683.75,0.00,0.00,1.40
5.112,0.00,10.02,731.25,0.00,-1.25,1.40
5.131,1.25,9.53,745.00,0.00,0.00,1.31
5.151,1.25,10.14,678.75,0.00,-1.25,1.32
5.171,1.25,9.66,723.75,0.00,-1.25,1.34
5.190,1.25,10.05,-22.50,0.00,0.00,1.39
5.212,0.00,9.82,732.50,0.00,1.25,1.37
5.232,-1.25,10.11,398.75,0.00,0.00,1.38
5.251,1.25,10.13,883.75,0.00,0.00,1.39
5.271,2.50,9.48,750.00,0.00,-1.25,1.31
5.290,3.75,10.04,25.00,0.00,1.25,1.31
5.310,0.00,9.79,871.25,0.00,0.00,1.32
5.329,7.50,10.03,518.75,0.00,1.25,1.31
5.348,1.25,9.92,708.75,0.00,1.25,1.31
5.368,2.50,9.47,781.25,0.14,-1.25,1.31
5.389,-300.00,10.03,757.50,0.00,0.00,1.31
5.409,0.00,9.60,706.25,0.00,0.00,1.31
5.428,-1.25,11.52,587.50,2.38,1.25,1.31
5.449,2.50,9.69,596.25,0.00,0.00,1.31
5.470,1.25,11.45,683.75,0.46,-1.25,1.31
5.490,1.25,9.83,741.25,0.00,1.25,1.32
5.509,0.00,10.70,671.25,0.00,-1.25,1.32
5.528,-2.50,10.03,717.50,0.00,0.00,1.34
5.553,-1.25,9.40,855.00,0.00,-1.25,1.36
5.578,2.50,10.07,875.00,0.00,0.00,1.36
5.597,0.00,9.44,717.50,0.00,0.00,1.37
5.616,0.00,10.17,523.75,0.00,0.00,1.37
5.636,-1.25,9.84,875.00,0.00,0.00,1.37
5.655,-1.25,10.04,148.75,0.00,-1.25,1.38
5.675,0.00,9.86,805.00,0.00,0.00,1.38
5.694,1.25,9.48,710.00,0.00,-1.25,1.38
5.717,1.25,9.96,887.50,0.00,0.00,1.36
5.737,0.00,9.65,878.75,0.28,0.00,1.38
5.756,32.50,10.03,25.00,0.00,-1.25,1.38
5.775,0.00,9.65,870.00,0.00,-1.25,1.37
5.795,-1.25,10.04,686.25,0.00,0.00,1.39
5.814,1.25,9.83,710.00,0.00,0.00,1.39
5.834,1.25,9.71,690.00,0.00,1.25,1.38
5.853,2.50,10.86,891.25,0.00,0.00,1.40
5.873,0.00,9.52,716.25,0.00,0.00,1.40
5.892,1.25,11.84,675.00,0.00,0.00,1.39
5.912,0.00,9.96,873.75,0.00,-1.25,1.35
5.931,6.25,10.04,540.00,0.00,0.00,1.37
5.951,0.00,9.91,882.50,0.00,0.00,1.38
5.971,0.00,10.08,670.00,0.00,0.00,1.32
6.006,1.25,9.64,483.75,0.00,-1.25,1.32
6.026,-1.25,11.67,678.75,0.00,-1.25,1.32
6.046,1.25,9.80,837.50,0.00,-1.25,1.32
6.066,0.00,10.15,22.50,0.00,-1.25,1.32
6.088,1.25,9.90,732.50,0.00,1.25,1.35
6.113,2.50,10.06,331.25,0.00,1.25,1.36
6.139,1.25,9.79,663.75,0.00,-1.25,1.33
6.164,-1.25,10.03,517.50,0.00,-1.25,1.33
6.185,0.00,9.85,882.50,0.00,-1.25,1.33
6.204,1.25,9.95,306.25,0.51,0.00,1.31
6.228,1.25,10.08,747.50,0.00,0.00,1.31
6.248,-2.50,9.40,558.75,0.00,0.00,1.31
6.268,1.25,10.52,800.00,0.00,0.00,1.31
6.288,1.25,9.55,715.00,0.00,-1.25,1.31
6.310,-1.25,11.75,701.25,0.00,0.00,1.37
6.335,1.25,9.55,813.75,0.54,0.00,1.36
6.359,2.50,11.40,877.50,0.00,-1.25,1.33
6.384,0.00,9.54,793.75,0.98,-1.25,1.31
